annual_income,annual_spending,age,spending_ratio,segment_true,cluster_true
102718.69,20306.62,54,0.198,Premium,0
125113.37,12957.83,38,0.104,Premium,0
82120.47,14821.96,52,0.18,Premium,0
127261.55,19858.5,35,0.156,Premium,0
139702.56,15637.6,39,0.112,Premium,0
96253.93,15703.72,41,0.163,Premium,0
112174.11,19767.37,40,0.176,Premium,0
90554.03,12654.33,40,0.14,Premium,0
112757.55,12948.92,50,0.115,Premium,0
117191.18,10322.97,46,0.088,Premium,0
123590.63,11101.64,38,0.09,Premium,0
146815.65,19914.6,54,0.136,Premium,0
101468.84,19800.49,36,0.195,Premium,0
110723.04,17978.17,37,0.162,Premium,0
81351.66,10593.93,53,0.13,Premium,0
125983.62,19924.97,41,0.158,Premium,0
115899.61,20283.35,38,0.175,Premium,0
134121.63,20354.16,53,0.152,Premium,0
120468.99,11813.76,53,0.098,Premium,0
92173.79,12580.25,35,0.136,Premium,0
107459.26,20093.99,40,0.187,Premium,0
106921.51,18076.8,40,0.169,Premium,0
91150.33,8117.71,51,0.089,Premium,0
146883.42,17038.32,50,0.116,Premium,0
79001.09,15816.15,51,0.2,Premium,0
132347.56,12408.29,50,0.094,Premium,0
103717.13,19891.84,37,0.192,Premium,0
123316.39,11273.12,41,0.091,Premium,0
102538.82,20065.95,41,0.196,Premium,0
123273.35,19914.84,52,0.162,Premium,0
88519.12,18635.71,49,0.211,Premium,0
117421.79,19446.37,50,0.166,Premium,0
115749.4,10033.95,43,0.087,Premium,0
88000.09,16163.13,35,0.184,Premium,0
99774.76,20029.42,45,0.201,Premium,0
98067.12,20451.37,43,0.209,Premium,0
95988.38,12177.93,36,0.127,Premium,0
92058.97,19685.9,53,0.214,Premium,0
124651.74,20119.64,52,0.161,Premium,0
94969.67,16019.1,52,0.169,Premium,0
136696.12,18383.69,52,0.134,Premium,0
87102.47,13498.18,39,0.155,Premium,0
137432.24,11290.87,52,0.082,Premium,0
116512.92,13889.13,43,0.119,Premium,0
88458.98,20095.4,41,0.227,Premium,0
102681.04,19943.84,45,0.194,Premium,0
104471.29,20156.57,54,0.193,Premium,0
96696.71,13245.7,44,0.137,Premium,0
97975.21,18320.48,35,0.187,Premium,0
117636.91,14444.55,36,0.123,Premium,0
141837.22,15280.66,39,0.108,Premium,0
113291.63,13814.72,54,0.122,Premium,0
126043.73,14790.76,50,0.117,Premium,0
132228.02,20197.28,42,0.153,Premium,0
123934.16,11731.78,45,0.095,Premium,0
140217.99,15447.28,41,0.11,Premium,0
81911.38,16249.27,46,0.198,Premium,0
81551.74,9662.29,45,0.118,Premium,0
123992.63,20165.16,38,0.163,Premium,0
110074.64,10967.51,53,0.1,Premium,0
102212.02,20119.45,37,0.197,Premium,0
141847.49,19939.58,40,0.141,Premium,0
138092.83,20171.99,46,0.146,Premium,0
97508.97,20143.25,36,0.207,Premium,0
142769.86,19468.07,47,0.136,Premium,0
104262.92,20252.81,49,0.194,Premium,0
142157.39,19875.23,50,0.14,Premium,0
85684.0,20179.32,38,0.236,Premium,0
123799.44,11993.79,35,0.097,Premium,0
129539.81,14000.21,35,0.108,Premium,0
117630.89,19947.98,48,0.17,Premium,0
93781.15,11434.35,49,0.122,Premium,0
102654.39,19568.27,49,0.191,Premium,0
143057.19,19929.42,48,0.139,Premium,0
85432.1,11013.18,42,0.129,Premium,0
99374.01,13877.55,54,0.14,Premium,0
144792.01,19754.71,47,0.136,Premium,0
114409.59,18610.36,46,0.163,Premium,0
