customer_id,age,income,spending_score,membership_years,gender,city,preferred_category,total_purchases,last_purchase_days,average_order_value,loyalty_points,segment_true
CUST_00001,29,34539,85,2.4,Female,San Diego,Electronics,15,0,28844.65,8653,young_spenders
CUST_00002,30,33063,80,1.5,Other,San Jose,Entertainment,12,10,15931.41,3823,young_spenders
CUST_00003,31,34247,82,1.2,Other,San Diego,Entertainment,8,17,30534.43,4885,young_spenders
CUST_00004,27,33711,77,2.0,Male,Los Angeles,Electronics,14,25,14622.66,4094,young_spenders
CUST_00005,23,31520,83,1.9,Male,Los Angeles,Entertainment,14,55,21851.28,6118,young_spenders
CUST_00006,28,33464,86,1.9,Other,Chicago,Fashion,20,0,6778.73,2711,young_spenders
CUST_00007,30,37259,85,1.8,Male,Chicago,Electronics,20,33,14667.65,5867,young_spenders
CUST_00008,26,34759,86,1.9,Other,Dallas,Entertainment,20,44,12053.71,4821,young_spenders
CUST_00009,27,34797,76,2.2,Male,San Antonio,Entertainment,17,42,13062.24,4441,young_spenders
CUST_00010,25,37349,84,1.1,Male,Dallas,Entertainment,7,71,39774.54,5568,young_spenders
CUST_00011,31,34026,71,1.9,Male,Houston,Fashion,10,11,27441.13,5488,young_spenders
CUST_00012,28,34948,82,2.1,Other,New York,Electronics,20,182,9795.35,3918,young_spenders
CUST_00013,27,35013,84,1.6,Other,San Diego,Entertainment,10,8,32409.25,6481,young_spenders
CUST_00014,28,37426,79,1.9,Male,Philadelphia,Fashion,14,48,20980.33,5874,young_spenders
CUST_00015,27,37858,85,1.4,Other,Dallas,Fashion,15,54,24207.5,7262,young_spenders
CUST_00016,23,35685,76,1.3,Female,Dallas,Entertainment,18,26,18417.48,6630,young_spenders
CUST_00017,28,28551,83,1.7,Other,Chicago,Fashion,10,13,14241.57,2848,young_spenders
CUST_00018,28,36393,74,2.7,Other,Philadelphia,Entertainment,16,115,17573.92,5623,young_spenders
CUST_00019,24,32175,88,2.2,Male,Phoenix,Electronics,25,43,20784.53,10392,young_spenders
CUST_00020,28,34586,85,1.6,Female,Dallas,Electronics,12,11,30209.36,7250,young_spenders
CUST_00021,28,36284,78,1.8,Other,Philadelphia,Entertainment,9,35,31339.3,5641,young_spenders
CUST_00022,29,38017,79,1.9,Male,Houston,Fashion,21,20,15405.18,6470,young_spenders
CUST_00023,28,32709,82,1.6,Female,San Jose,Electronics,12,120,16226.4,3894,young_spenders
CUST_00024,27,33426,87,1.8,Female,Houston,Electronics,19,29,10356.93,3935,young_spenders
CUST_00025,33,37113,74,1.8,Male,San Antonio,Entertainment,17,0,12314.1,4186,young_spenders
CUST_00026,28,32427,89,1.6,Male,Phoenix,Fashion,11,37,23734.64,5221,young_spenders
CUST_00027,33,38441,76,1.5,Female,San Jose,Fashion,10,19,33105.04,6621,young_spenders
CUST_00028,30,30683,82,0.9,Other,Los Angeles,Fashion,8,2,15346.18,2455,young_spenders
CUST_00029,29,38087,85,2.2,Male,New York,Electronics,20,29,18523.81,7409,young_spenders
CUST_00030,29,32770,78,1.5,Female,San Jose,Electronics,10,14,15842.08,3168,young_spenders
CUST_00031,27,37832,83,1.5,Female,New York,Entertainment,10,139,38440.19,7688,young_spenders
CUST_00032,29,38478,83,1.1,Other,Dallas,Entertainment,9,95,35415.32,6374,young_spenders
CUST_00033,28,35892,76,0.3,Male,Houston,Fashion,1,24,28930.2,578,young_spenders
CUST_00034,26,37080,85,1.7,Other,Los Angeles,Entertainment,7,17,23034.1,3224,young_spenders
CUST_00035,29,33120,79,1.9,Other,San Antonio,Fashion,17,50,8704.79,2959,young_spenders
CUST_00036,25,29189,86,1.7,Other,San Antonio,Electronics,13,8,30088.94,7823,young_spenders
CUST_00037,27,34984,79,1.7,Female,Dallas,Entertainment,8,26,38176.63,6108,young_spenders
CUST_00038,30,32176,82,0.7,Male,Los Angeles,Entertainment,7,35,35429.33,4960,young_spenders
CUST_00039,31,38197,91,1.4,Female,Los Angeles,Fashion,12,18,21669.03,5200,young_spenders
CUST_00040,27,36139,90,2.1,Male,Philadelphia,Electronics,21,72,12807.59,5379,young_spenders
CUST_00041,32,29232,83,2.2,Other,Phoenix,Electronics,13,126,18058.89,4695,young_spenders
