sepal_length,sepal_width,petal_length,petal_width,species_true,cluster_true
5.06,3.93,1.73,0.34,Species_A,0
4.73,2.73,1.06,0.45,Species_A,0
5.4,3.56,1.02,0.49,Species_A,0
5.75,2.82,1.18,0.17,Species_A,0
4.96,3.29,1.43,0.22,Species_A,0
5.42,2.71,1.29,0.25,Species_A,0
5.18,3.68,1.2,0.31,Species_A,0
5.39,2.57,1.61,0.17,Species_A,0
4.6,3.92,1.97,0.42,Species_A,0
4.96,2.65,1.68,0.28,Species_A,0
4.68,3.24,1.03,0.46,Species_A,0
4.89,3.49,1.31,0.31,Species_A,0
5.32,2.78,1.97,0.41,Species_A,0
5.91,3.84,1.6,0.47,Species_A,0
4.63,2.79,1.05,0.23,Species_A,0
5.08,2.91,1.83,0.24,Species_A,0
4.92,3.31,1.14,0.42,Species_A,0
4.61,3.98,1.77,0.18,Species_A,0
4.51,3.72,1.71,0.39,Species_A,0
5.66,2.61,1.36,0.15,Species_A,0
5.79,3.43,1.33,0.13,Species_A,0
4.97,2.99,1.73,0.36,Species_A,0
5.83,3.21,1.12,0.39,Species_A,0
5.64,3.34,1.77,0.3,Species_A,0
5.28,3.14,1.03,0.14,Species_A,0
4.55,3.45,1.31,0.3,Species_A,0
5.86,2.87,1.41,0.4,Species_A,0
4.84,2.62,1.29,0.16,Species_A,0
5.89,3.71,1.63,0.45,Species_A,0
5.71,2.78,1.89,0.32,Species_A,0
5.71,3.84,1.32,0.14,Species_A,0
4.84,3.14,1.82,0.44,Species_A,0
4.51,3.27,1.42,0.19,Species_A,0
4.68,3.01,1.94,0.23,Species_A,0
5.28,3.55,1.36,0.49,Species_A,0
5.94,2.88,1.5,0.22,Species_A,0
4.93,2.56,1.61,0.3,Species_A,0
4.58,2.92,1.91,0.2,Species_A,0
4.72,3.23,1.99,0.2,Species_A,0
5.51,3.64,1.24,0.39,Species_A,0
5.05,3.45,1.63,0.31,Species_A,0
4.64,3.75,1.32,0.17,Species_A,0
4.56,3.39,1.68,0.11,Species_A,0
5.27,2.84,1.65,0.17,Species_A,0
5.54,3.08,1.94,0.16,Species_A,0
5.01,2.67,1.92,0.45,Species_A,0
4.89,3.49,1.82,0.32,Species_A,0
5.29,2.86,1.09,0.46,Species_A,0
5.85,3.45,1.34,0.24,Species_A,0
5.59,3.85,1.89,0.41,Species_A,0
5.46,2.63,1.16,0.46,Species_A,0
5.41,2.51,1.1,0.37,Species_A,0
4.51,2.74,1.55,0.38,Species_A,0
5.48,2.84,1.71,0.19,Species_A,0
4.99,3.62,1.65,0.44,Species_A,0
5.49,3.35,1.09,0.25,Species_A,0
4.9,2.87,1.97,0.26,Species_A,0
5.84,3.45,1.79,0.3,Species_A,0
5.37,3.24,1.2,0.39,Species_A,0
4.92,2.54,1.65,0.17,Species_A,0
5.91,3.93,1.91,0.25,Species_A,0
4.52,3.89,1.43,0.49,Species_A,0
5.95,3.78,1.29,0.25,Species_A,0
5.78,2.98,1.17,0.32,Species_A,0
5.9,3.54,1.57,0.14,Species_A,0
5.42,3.99,1.14,0.31,Species_A,0
5.82,3.61,1.7,0.38,Species_A,0
5.04,2.94,1.81,0.42,Species_A,0
5.8,3.87,1.51,0.3,Species_A,0
5.7,3.47,1.7,0.42,Species_A,0
5.84,3.01,1.38,0.14,Species_A,0
5.37,2.55,1.47,0.32,Species_A,0
4.93,3.39,1.03,0.11,Species_A,0
5.73,3.04,1.13,0.31,Species_A,0
5.65,2.82,1.62,0.13,Species_A,0
4.58,3.3,1.54,0.35,Species_A,0
5.59,3.96,1.52,0.23,Species_A,0
5.69,2.91,1.44,0.13,Species_A,0
4.54,3.94,1.84,0.38,Species_A,0
5.11,2.76,1.16,0.2,Species_A,0
5.32,3.57,1.66,0.21,Species_A,0
5.93,3.61,1.55,0.34,Species_A,0
5.13,2.87,1.36,0.4,Species_A,0
4.52,2.67,1.05,0.12,Species_A,0
5.78,3.56,1.47,0.14,Species_A,0
5.24,3.21,1.17,0.27,Species_A,0
5.1,3.42,1.64,0.12,Species_A,0
5.06,3.44,1.5,0.44,Species_A,0
5.49,2.74,1.07,0.36,Species_A,0
4.54,3.38,1.94,0.33,Species_A,0
5.08,3.46,1.46,0.32,Species_A,0
5.91,3.08,1.96,0.46,Species_A,0
4.79,2.6,1.1,0.11,Species_A,0
4.64,3.52,1.07,0.23,Species_A,0
5.77,2.53,1.81,0.21,Species_A,0
4.68,3.55,1.63,0.45,Species_A,0
5.6,3.71,1.28,0.17,Species_A,0
5.63,3.71,1.99,0.27,Species_A,0
5.06,3.66,1.34,0.47,Species_A,0
5.79,3.14,1.75,0.4,Species_A,0
5.65,3.35,4.01,1.66,Species_B,1
5.98,3.34,3.78,1.01,Species_B,1
6.86,2.14,3.64,1.76,Species_B,1
6.93,2.86,4.26,1.36,Species_B,1
5.94,2.49,4.35,1.6,Species_B,1
6.69,3.18,3.18,1.4,Species_B,1
5.59,2.82,3.88,1.71,Species_B,1
6.03,2.18,3.29,1.61,Species_B,1
6.43,2.15,3.17,1.56,Species_B,1
5.61,3.23,4.41,1.07,Species_B,1
5.63,3.48,3.75,1.3,Species_B,1
6.72,3.42,4.97,1.6,Species_B,1
6.06,2.13,4.55,1.45,Species_B,1
6.14,3.36,3.22,1.39,Species_B,1
5.52,2.7,3.11,1.1,Species_B,1
5.68,2.97,4.49,1.47,Species_B,1
6.94,2.56,3.57,1.69,Species_B,1
5.84,3.44,3.02,1.78,Species_B,1
5.56,3.34,4.06,1.79,Species_B,1
5.61,2.83,4.94,1.42,Species_B,1
6.44,3.04,3.91,1.5,Species_B,1
6.38,3.35,3.09,1.22,Species_B,1
6.93,3.34,3.91,1.5,Species_B,1
5.92,2.28,3.93,1.28,Species_B,1
6.38,2.12,4.95,1.79,Species_B,1
6.55,2.8,3.62,1.65,Species_B,1
6.53,2.24,4.82,1.66,Species_B,1
6.92,3.09,4.23,1.33,Species_B,1
6.9,3.3,3.09,1.02,Species_B,1
6.06,3.22,4.97,1.12,Species_B,1
6.39,2.57,4.94,1.67,Species_B,1
6.76,2.7,3.83,1.22,Species_B,1
5.58,3.3,4.63,1.8,Species_B,1
6.99,2.83,4.54,1.76,Species_B,1
6.77,2.37,3.9,1.1,Species_B,1
6.93,2.91,3.46,1.54,Species_B,1
6.43,2.54,3.23,1.54,Species_B,1
6.28,3.16,4.04,1.68,Species_B,1
6.33,2.84,4.75,1.32,Species_B,1
5.7,2.04,4.51,1.5,Species_B,1
6.56,2.32,3.27,1.01,Species_B,1
6.03,2.88,3.78,1.35,Species_B,1
6.86,2.52,4.03,1.63,Species_B,1
6.09,2.93,4.72,1.76,Species_B,1
5.72,3.39,3.98,1.21,Species_B,1
6.19,3.47,3.99,1.26,Species_B,1
6.45,2.36,3.15,1.1,Species_B,1
5.69,2.23,3.28,1.51,Species_B,1
5.77,2.52,4.79,1.38,Species_B,1
6.5,2.26,3.38,1.03,Species_B,1
5.75,2.42,3.35,1.07,Species_B,1
5.68,2.69,3.41,1.29,Species_B,1
6.26,3.04,3.08,1.64,Species_B,1
6.44,2.12,4.75,1.74,Species_B,1
5.59,2.42,4.61,1.6,Species_B,1
5.78,2.31,3.74,1.39,Species_B,1
6.43,2.55,3.93,1.6,Species_B,1
5.56,2.38,4.43,1.72,Species_B,1
6.27,2.8,3.21,1.36,Species_B,1
6.3,2.36,3.54,1.3,Species_B,1
5.53,2.48,3.42,1.26,Species_B,1
5.68,3.34,4.19,1.54,Species_B,1
6.68,2.75,3.17,1.43,Species_B,1
6.38,3.12,3.86,1.1,Species_B,1
5.93,2.54,4.29,1.46,Species_B,1
6.03,3.48,4.21,1.19,Species_B,1
5.65,2.23,3.49,1.13,Species_B,1
5.78,2.43,3.35,1.72,Species_B,1
5.62,2.79,3.82,1.79,Species_B,1
5.67,2.6,4.94,1.69,Species_B,1
6.73,2.39,3.34,1.53,Species_B,1
6.89,2.84,4.14,1.22,Species_B,1
6.65,2.28,3.65,1.34,Species_B,1
6.26,2.36,3.23,1.49,Species_B,1
5.93,2.87,3.31,1.38,Species_B,1
6.3,2.08,3.67,1.11,Species_B,1
5.6,3.48,3.64,1.65,Species_B,1
5.88,3.02,4.52,1.48,Species_B,1
6.21,2.62,3.7,1.74,Species_B,1
6.75,3.45,3.25,1.58,Species_B,1
6.91,2.27,3.13,1.59,Species_B,1
6.36,3.26,3.28,1.64,Species_B,1
5.8,2.25,3.33,1.65,Species_B,1
6.5,2.78,3.72,1.7,Species_B,1
6.09,3.22,3.88,1.3,Species_B,1
6.19,2.45,4.5,1.4,Species_B,1
5.85,3.35,3.77,1.43,Species_B,1
6.86,2.94,3.23,1.75,Species_B,1
6.44,2.5,3.28,1.64,Species_B,1
6.43,2.8,4.79,1.63,Species_B,1
5.73,2.47,3.5,1.6,Species_B,1
5.55,2.85,4.52,1.7,Species_B,1
6.01,3.23,3.22,1.68,Species_B,1
5.69,2.6,4.59,1.12,Species_B,1
5.84,3.08,4.44,1.51,Species_B,1
6.54,2.81,3.5,1.28,Species_B,1
5.77,3.36,4.17,1.32,Species_B,1
6.19,3.42,3.31,1.47,Species_B,1
6.26,2.92,3.04,1.7,Species_B,1
6.9,2.85,4.39,1.74,Species_B,1
7.41,2.73,5.94,2.11,Species_C,2
6.85,3.6,6.84,2.43,Species_C,2
6.9,2.67,6.96,2.34,Species_C,2
6.25,3.88,6.67,2.02,Species_C,2
7.18,3.1,4.64,1.84,Species_C,2
7.61,2.51,5.33,1.9,Species_C,2
7.07,3.88,5.37,1.85,Species_C,2
7.48,3.18,5.06,1.95,Species_C,2
6.28,2.76,5.75,1.92,Species_C,2
7.83,3.04,5.95,2.13,Species_C,2
6.03,3.5,4.95,2.46,Species_C,2
6.3,3.12,4.71,2.5,Species_C,2
7.0,3.39,4.67,2.25,Species_C,2
6.42,3.85,5.01,1.69,Species_C,2
6.07,3.21,5.91,1.57,Species_C,2
7.55,3.18,5.81,1.94,Species_C,2
6.8,3.34,4.89,1.68,Species_C,2
7.72,3.92,5.43,1.77,Species_C,2
7.29,3.11,4.56,1.66,Species_C,2
7.43,3.49,4.57,1.72,Species_C,2
6.46,3.51,4.55,1.6,Species_C,2
7.6,2.77,6.13,1.74,Species_C,2
6.2,2.86,6.31,2.36,Species_C,2
7.66,3.1,6.17,1.7,Species_C,2
6.59,3.84,4.53,1.59,Species_C,2
6.42,2.54,4.95,2.08,Species_C,2
6.84,3.84,6.54,1.84,Species_C,2
6.52,3.07,5.98,1.77,Species_C,2
7.25,3.11,5.88,1.94,Species_C,2
6.59,3.92,6.41,1.64,Species_C,2
7.74,3.23,6.74,2.3,Species_C,2
6.85,2.53,5.17,2.04,Species_C,2
7.27,2.89,4.85,2.33,Species_C,2
7.97,3.29,4.93,1.77,Species_C,2
6.04,3.87,4.79,2.08,Species_C,2
6.55,3.33,6.13,2.33,Species_C,2
6.41,2.52,4.84,2.4,Species_C,2
7.75,3.4,6.0,2.17,Species_C,2
6.35,3.87,5.55,1.88,Species_C,2
7.04,2.57,4.92,2.24,Species_C,2
6.17,3.4,5.11,1.89,Species_C,2
6.58,3.03,6.3,1.8,Species_C,2
7.13,3.21,6.16,2.44,Species_C,2
7.47,2.82,4.58,1.76,Species_C,2
7.19,2.58,5.74,2.1,Species_C,2
