campaign_id,customer_id,campaign_name,channel,campaign_date,responded,converted,response_rate,conversion_rate,campaign_cost,campaign_revenue,roi,click_through_rate,engagement_score,time_spent_seconds
CAMP_00001,CUST_00272,Back_to_School_2024,SMS,2024-09-30,True,False,0.073,0.0,0.05,0.0,-100.0,0.0351,,102
CAMP_00002,CUST_00130,Mother_Day_2024,SMS,2025-05-15,False,False,0.065,0.0,0.05,0.0,-100.0,,,0
CAMP_00003,CUST_00073,Mother_Day_2024,Social Media,2025-05-23,True,False,0.0608,0.0,2.0,0.0,-100.0,0.0223,22.3,25
CAMP_00004,CUST_00010,Father_Day_2024,Display Ads,2025-04-24,False,False,0.0592,0.0,1.5,0.0,-100.0,,45.1,0
CAMP_00005,CUST_00300,Spring_Collection_2024,Display Ads,2024-08-19,False,False,0.1021,0.0,1.5,0.0,-100.0,,59.9,0
CAMP_00006,CUST_00215,Valentine_Special_2024,Social Media,2024-11-14,True,False,0.0714,0.0,2.0,0.0,-100.0,0.0349,34.9,94
CAMP_00007,CUST_00167,Father_Day_2024,Search Ads,2024-12-10,False,False,0.0774,0.0,3.0,0.0,-100.0,,8.9,0
CAMP_00008,CUST_00232,Holiday_Special_2024,Search Ads,2025-05-24,False,False,0.0735,0.0,3.0,0.0,-100.0,,79.9,0
CAMP_00009,CUST_00197,Holiday_Special_2024,Social Media,2025-02-07,False,False,0.0693,0.0,2.0,0.0,-100.0,,59.0,0
CAMP_00010,CUST_00153,Mother_Day_2024,Social Media,2025-02-18,False,False,0.071,0.0,2.0,0.0,-100.0,,29.2,0
CAMP_00011,CUST_00154,Back_to_School_2024,SMS,2025-07-09,False,False,0.0782,0.0,0.05,0.0,-100.0,,29.2,0
CAMP_00012,CUST_00377,Summer_Sale_2024,Search Ads,2024-10-08,False,False,0.0613,0.0,3.0,0.0,-100.0,,11.5,0
CAMP_00013,CUST_00392,Black_Friday_2024,Search Ads,2024-09-29,False,False,0.0577,0.0,3.0,0.0,-100.0,,30.8,0
CAMP_00014,CUST_00179,Father_Day_2024,Search Ads,2024-09-18,False,False,0.075,0.0,3.0,0.0,-100.0,,58.7,0
CAMP_00015,CUST_00476,New_Year_2024,Display Ads,2024-12-15,False,False,0.1033,0.0,1.5,0.0,-100.0,,64.0,0
CAMP_00016,CUST_00159,Easter_Promotion_2024,Display Ads,2024-08-30,False,False,0.0672,0.0,1.5,0.0,-100.0,,45.2,0
CAMP_00017,CUST_00157,Easter_Promotion_2024,Display Ads,2024-08-09,False,False,0.0819,0.0,1.5,0.0,-100.0,,65.2,0
CAMP_00018,CUST_00500,Mother_Day_2024,Email,2025-04-10,False,False,0.1308,0.0,0.1,0.0,-100.0,,65.2,0
