sale_id,customer_id,product_id,product_name,product_category,purchase_amount,quantity,purchase_date,discount_applied,payment_method,channel,satisfaction_rating,repeat_purchase
SALE_000001,CUST_00247,PROD_5230,Food,Groceries,19.9,2,2025-08-08,False,Debit Card,Phone,4.2,True
SALE_000002,CUST_00212,PROD_7649,Medical,Health,57.29,3,2025-06-19,False,Cash,Mobile App,4.8,False
SALE_000003,CUST_00453,PROD_0688,Skincare,Health,29.12,3,2025-08-01,False,Gift Card,Phone,4.0,True
SALE_000004,CUST_00222,PROD_7244,Garden,Home,247.46,4,2025-06-14,False,PayPal,Phone,4.7,False
SALE_000005,CUST_00315,PROD_5729,Music,Entertainment,74.94,2,2025-06-24,False,Gift Card,Phone,4.7,True
SALE_000006,CUST_00163,PROD_4230,Frozen,Groceries,25.32,2,2025-08-07,False,PayPal,Phone,4.5,True
SALE_000007,CUST_00261,PROD_2689,Personal,Health,81.46,2,2025-05-04,False,Gift Card,Online,3.6,True
SALE_000008,CUST_00072,PROD_5103,T-Shirt,Fashion,67.53,1,2025-05-24,False,PayPal,Online,5.0,False
SALE_000009,CUST_00378,PROD_3668,Wellness,Health,14.94,3,2025-08-07,True,PayPal,Online,3.5,False
SALE_000010,CUST_00294,PROD_8417,Exclusive,Luxury,1290.42,7,2025-07-07,False,PayPal,Phone,4.3,False
SALE_000011,CUST_00054,PROD_5089,Streaming,Entertainment,28.01,2,2025-04-27,False,PayPal,Phone,5.0,False
SALE_000012,CUST_00251,PROD_7649,Medical,Health,46.76,4,2025-08-07,True,Debit Card,Online,4.9,True
SALE_000013,CUST_00254,PROD_7562,Books,Entertainment,43.61,5,2025-07-13,False,Cash,Mobile App,4.7,False
SALE_000014,CUST_00074,PROD_4033,Household,Essentials,24.84,3,2025-07-16,True,Debit Card,Mobile App,5.0,False
SALE_000015,CUST_00245,PROD_3966,Transportation,Essentials,27.15,6,2025-08-04,False,Debit Card,Online,3.6,True
SALE_000016,CUST_00247,PROD_5228,Organic,Groceries,18.01,1,2025-05-06,False,Debit Card,Mobile App,4.1,False
